Match ID,Event,Date,Team 1,Team 2,Map,Team 1 Rounds,Team 2 Rounds,Total Rounds,Winner,Team 1 FK,Team 2 FK,Team 1 Clutches,Team 2 Clutches,Team 1 Rating,Team 2 Rating
40902,ELEAGUE Major 2017,2017-01-22 23:50:00,FlipSid3,FaZe,Nuke,9,16,25,FaZe,10,15,1,2,0.85,1.32
40901,ELEAGUE Major 2017,2017-01-22 22:50:00,Astralis,GODSENT,Train,6,16,22,GODSENT,7,15,2,1,0.67,1.42
40896,ELEAGUE Major 2017,2017-01-22 20:55:00,Liquid,Envy,Cache,21,25,46,Envy,20,26,5,4,1.04,1.16
40891,ELEAGUE Major 2017,2017-01-22 20:00:00,Natus Vincere,mousesports,Cobblestone,16,3,19,Natus Vincere,14,5,1,0,1.48,0.64
40888,ELEAGUE Major 2017,2017-01-22 18:40:00,Virtus.pro,OpTic,Cobblestone,16,13,29,Virtus.pro,16,13,4,1,1.16,1.02
40887,ELEAGUE Major 2017,2017-01-22 17:30:00,SK,HellRaisers,Mirage,16,7,23,SK,15,8,3,1,1.43,0.7
40886,ELEAGUE Major 2017,2017-01-22 16:30:00,fnatic,G2,Cache,10,16,26,G2,12,14,3,2,0.88,1.25
40885,ELEAGUE Major 2017,2017-01-22 15:00:00,Gambit,North,Cobblestone,16,8,24,Gambit,12,12,2,0,1.31,0.79
32417,ESL One Cologne 2016,2016-07-10 15:00:00,SK,Liquid,Cobblestone,16,6,22,SK,15,7,3,0,1.33,0.81
32415,ESL One Cologne 2016,2016-07-10 15:00:00,SK,Liquid,Train,16,7,23,SK,13,10,3,0,1.26,0.82
32394,ESL One Cologne 2016,2016-07-09 17:30:00,Liquid,fnatic,Cache,16,13,29,Liquid,16,13,2,0,1.11,0.96
32393,ESL One Cologne 2016,2016-07-09 17:30:00,Liquid,fnatic,Cobblestone,16,13,29,Liquid,15,14,1,0,1.05,1.04
32388,ESL One Cologne 2016,2016-07-09 13:00:00,Virtus.pro,SK,Mirage,12,16,28,SK,17,11,1,2,0.93,1.11
32379,ESL One Cologne 2016,2016-07-09 13:00:00,Virtus.pro,SK,Nuke,5,16,21,SK,11,10,0,1,0.76,1.32
32370,ESL One Cologne 2016,2016-07-09 13:00:00,Virtus.pro,SK,Cobblestone,19,17,36,Virtus.pro,19,17,3,0,1.03,1.07
32358,ESL One Cologne 2016,2016-07-08 19:15:00,Gambit,fnatic,Cache,3,16,19,fnatic,5,14,0,0,0.47,1.64
32357,ESL One Cologne 2016,2016-07-08 19:15:00,Gambit,fnatic,Train,5,16,21,fnatic,13,8,0,3,0.74,1.35
