Match ID,Event,Date,Player,Team,Map,Rounds,Kills,Deaths,FK,FD,FK%K,FD%D,Rating
82087,IEM Katowice 2019,2019-03-01 15:10:00,Gratisfaction,Renegades,Train,28,24,18,1,2,4.166666666666666,11.11111111111111,1.02
82087,IEM Katowice 2019,2019-03-01 15:10:00,jks,Renegades,Train,28,15,20,2,0,13.333333333333334,0.0,0.9
82087,IEM Katowice 2019,2019-03-01 15:10:00,AZR,Renegades,Train,28,19,21,0,3,0.0,14.285714285714285,0.87
82087,IEM Katowice 2019,2019-03-01 15:10:00,Liazz,Renegades,Train,28,11,20,1,5,9.090909090909092,25.0,0.55
82082,IEM Katowice 2019,2019-03-01 15:10:00,fer,MIBR,Dust2,22,21,7,5,2,23.809523809523807,28.57142857142857,1.79
82082,IEM Katowice 2019,2019-03-01 15:10:00,coldzera,MIBR,Dust2,22,20,13,1,0,5.0,0.0,1.43
82082,IEM Katowice 2019,2019-03-01 15:10:00,felps,MIBR,Dust2,22,19,12,2,0,10.526315789473683,0.0,1.32
82082,IEM Katowice 2019,2019-03-01 15:10:00,FalleN,MIBR,Dust2,22,16,12,5,5,31.25,41.66666666666667,1.24
82082,IEM Katowice 2019,2019-03-01 15:10:00,TACO,MIBR,Dust2,22,13,8,1,1,7.6923076923076925,12.5,1.05
82082,IEM Katowice 2019,2019-03-01 15:10:00,jks,Renegades,Dust2,22,17,17,2,1,11.76470588235294,5.88235294117647,1.06
82082,IEM Katowice 2019,2019-03-01 15:10:00,jkaem,Renegades,Dust2,22,11,17,2,3,18.181818181818183,17.647058823529413,0.71
82082,IEM Katowice 2019,2019-03-01 15:10:00,Liazz,Renegades,Dust2,22,9,16,0,2,0.0,12.5,0.65
82082,IEM Katowice 2019,2019-03-01 15:10:00,Gratisfaction,Renegades,Dust2,22,10,19,1,3,10.0,15.789473684210526,0.64
82082,IEM Katowice 2019,2019-03-01 15:10:00,AZR,Renegades,Dust2,22,5,20,3,5,60.0,25.0,0.43
82063,IEM Katowice 2019,2019-02-28 18:40:00,Twistzz,Liquid,Inferno,35,30,24,0,1,0.0,4.166666666666666,1.23
82063,IEM Katowice 2019,2019-02-28 18:40:00,EliGE,Liquid,Inferno,35,30,29,6,7,20.0,24.137931034482758,1.18
82063,IEM Katowice 2019,2019-02-28 18:40:00,Stewie2K,Liquid,Inferno,35,23,27,5,6,21.73913043478261,22.22222222222222,1.04
82063,IEM Katowice 2019,2019-02-28 18:40:00,nitr0,Liquid,Inferno,35,14,24,2,4,14.285714285714285,16.666666666666664,0.72
82063,IEM Katowice 2019,2019-02-28 18:40:00,NAF,Liquid,Inferno,35,12,23,1,3,8.333333333333332,13.043478260869565,0.63
82063,IEM Katowice 2019,2019-02-28 18:40:00,allu,ENCE,Inferno,35,36,18,5,4,13.88888888888889,22.22222222222222,1.55
82063,IEM Katowice 2019,2019-02-28 18:40:00,Aleksib,ENCE,Inferno,35,27,19,5,3,18.51851851851852,15.789473684210526,1.25
82063,IEM Katowice 2019,2019-02-28 18:40:00,sergej,ENCE,Inferno,35,26,26,4,1,15.384615384615385,3.8461538461538463,1.17
82063,IEM Katowice 2019,2019-02-28 18:40:00,xseveN,ENCE,Inferno,35,24,20,4,4,16.666666666666664,20.0,1.09
82063,IEM Katowice 2019,2019-02-28 18:40:00,Aerial,ENCE,Inferno,35,14,26,3,2,21.428571428571427,7.6923076923076925,0.91
82058,IEM Katowice 2019,2019-02-28 18:40:00,Stewie2K,Liquid,Mirage,27,19,21,2,5,10.526315789473683,23.809523809523807,0.93
82058,IEM Katowice 2019,2019-02-28 18:40:00,NAF,Liquid,Mirage,27,14,18,0,6,0.0,33.33333333333333,0.92
82058,IEM Katowice 2019,2019-02-28 18:40:00,nitr0,Liquid,Mirage,27,16,17,3,4,18.75,23.52941176470588,0.86
82058,IEM Katowice 2019,2019-02-28 18:40:00,EliGE,Liquid,Mirage,27,15,20,2,3,13.333333333333334,15.0,0.78
82058,IEM Katowice 2019,2019-02-28 18:40:00,Twistzz,Liquid,Mirage,27,8,19,1,1,12.5,5.263157894736842,0.63
82058,IEM Katowice 2019,2019-02-28 18:40:00,sergej,ENCE,Mirage,27,22,16,5,0,22.727272727272727,0.0,1.44
82058,IEM Katowice 2019,2019-02-28 18:40:00,xseveN,ENCE,Mirage,27,22,16,5,1,22.727272727272727,6.25,1.32
82058,IEM Katowice 2019,2019-02-28 18:40:00,allu,ENCE,Mirage,27,19,11,3,2,15.789473684210526,18.181818181818183,1.18
82058,IEM Katowice 2019,2019-02-28 18:40:00,Aleksib,ENCE,Mirage,27,17,13,5,3,29.411764705882355,23.076923076923077,1.15
82058,IEM Katowice 2019,2019-02-28 18:40:00,Aerial,ENCE,Mirage,27,15,16,1,2,6.666666666666667,12.5,0.99
82050,IEM Katowice 2019,2019-02-28 15:20:00,electronic,Natus Vincere,Mirage,23,24,12,4,0,16.666666666666664,0.0,1.75
82050,IEM Katowice 2019,2019-02-28 15:20:00,Zeus,Natus Vincere,Mirage,23,15,13,4,2,26.666666666666668,15.384615384615385,1.23
82050,IEM Katowice 2019,2019-02-28 15:20:00,flamie,Natus Vincere,Mirage,23,18,11,2,3,11.11111111111111,27.27272727272727,1.19
82050,IEM Katowice 2019,2019-02-28 15:20:00,Edward,Natus Vincere,Mirage,23,17,14,2,0,11.76470588235294,0.0,1.13
82050,IEM Katowice 2019,2019-02-28 15:20:00,s1mple,Natus Vincere,Mirage,23,15,12,1,5,6.666666666666667,41.66666666666667,1.11
82050,IEM Katowice 2019,2019-02-28 15:20:00,GuardiaN,FaZe,Mirage,23,14,18,3,3,21.428571428571427,16.666666666666664,0.87
82050,IEM Katowice 2019,2019-02-28 15:20:00,NiKo,FaZe,Mirage,23,15,18,3,2,20.0,11.11111111111111,0.86
82050,IEM Katowice 2019,2019-02-28 15:20:00,rain,FaZe,Mirage,23,14,18,1,4,7.142857142857142,22.22222222222222,0.73
82050,IEM Katowice 2019,2019-02-28 15:20:00,olofmeister,FaZe,Mirage,23,11,18,3,4,27.27272727272727,22.22222222222222,0.66
82050,IEM Katowice 2019,2019-02-28 15:20:00,AdreN,FaZe,Mirage,23,8,17,0,0,0.0,0.0,0.57
82045,IEM Katowice 2019,2019-02-28 15:20:00,flamie,Natus Vincere,Inferno,29,23,17,4,3,17.391304347826086,17.647058823529413,1.29
82045,IEM Katowice 2019,2019-02-28 15:20:00,electronic,Natus Vincere,Inferno,29,22,15,3,1,13.636363636363635,6.666666666666667,1.28
82045,IEM Katowice 2019,2019-02-28 15:20:00,Edward,Natus Vincere,Inferno,29,17,17,2,2,11.76470588235294,11.76470588235294,0.97
82045,IEM Katowice 2019,2019-02-28 15:20:00,Zeus,Natus Vincere,Inferno,29,13,19,3,3,23.076923076923077,15.789473684210526,0.93
82045,IEM Katowice 2019,2019-02-28 15:20:00,s1mple,Natus Vincere,Inferno,29,16,19,3,5,18.75,26.31578947368421,0.86
82045,IEM Katowice 2019,2019-02-28 15:20:00,rain,FaZe,Inferno,29,23,19,4,1,17.391304347826086,5.263157894736842,1.25
82045,IEM Katowice 2019,2019-02-28 15:20:00,olofmeister,FaZe,Inferno,29,18,18,2,2,11.11111111111111,11.11111111111111,1.02
82045,IEM Katowice 2019,2019-02-28 15:20:00,AdreN,FaZe,Inferno,29,17,19,4,4,23.52941176470588,21.052631578947366,0.93
82045,IEM Katowice 2019,2019-02-28 15:20:00,GuardiaN,FaZe,Inferno,29,16,15,1,2,6.25,13.333333333333334,0.92
82045,IEM Katowice 2019,2019-02-28 15:20:00,NiKo,FaZe,Inferno,29,13,21,3,6,23.076923076923077,28.57142857142857,0.7
81885,IEM Katowice 2019,2019-02-24 18:30:00,NiKo,FaZe,Dust2,25,25,14,4,2,16.0,14.285714285714285,1.65
81885,IEM Katowice 2019,2019-02-24 18:30:00,rain,FaZe,Dust2,25,20,13,6,3,30.0,23.076923076923077,1.51
81885,IEM Katowice 2019,2019-02-24 18:30:00,AdreN,FaZe,Dust2,25,20,10,2,0,10.0,0.0,1.4
81885,IEM Katowice 2019,2019-02-24 18:30:00,olofmeister,FaZe,Dust2,25,15,12,2,1,13.333333333333334,8.333333333333332,1.04
81885,IEM Katowice 2019,2019-02-24 18:30:00,GuardiaN,FaZe,Dust2,25,13,17,2,3,15.384615384615385,17.647058823529413,0.9
81885,IEM Katowice 2019,2019-02-24 18:30:00,autimatic,Cloud9,Dust2,25,19,17,1,3,5.263157894736842,17.647058823529413,1.09
81885,IEM Katowice 2019,2019-02-24 18:30:00,kioShiMa,Cloud9,Dust2,25,17,17,3,2,17.647058823529413,11.76470588235294,0.95
81885,IEM Katowice 2019,2019-02-24 18:30:00,flusha,Cloud9,Dust2,25,15,18,1,2,6.666666666666667,11.11111111111111,0.89
81885,IEM Katowice 2019,2019-02-24 18:30:00,RUSH,Cloud9,Dust2,25,10,20,2,2,20.0,10.0,0.67
81885,IEM Katowice 2019,2019-02-24 18:30:00,Zellsis,Cloud9,Dust2,25,5,21,2,7,40.0,33.33333333333333,0.41
81879,IEM Katowice 2019,2019-02-24 18:30:00,NiKo,FaZe,Cache,30,25,18,4,3,16.0,16.666666666666664,1.36
81879,IEM Katowice 2019,2019-02-24 18:30:00,olofmeister,FaZe,Cache,30,25,19,4,4,16.0,21.052631578947366,1.27
81879,IEM Katowice 2019,2019-02-24 18:30:00,rain,FaZe,Cache,30,22,20,6,4,27.27272727272727,20.0,1.14
81879,IEM Katowice 2019,2019-02-24 18:30:00,AdreN,FaZe,Cache,30,17,18,2,2,11.76470588235294,11.11111111111111,1.03
81879,IEM Katowice 2019,2019-02-24 18:30:00,GuardiaN,FaZe,Cache,30,18,20,1,0,5.555555555555555,0.0,0.78
81879,IEM Katowice 2019,2019-02-24 18:30:00,flusha,Cloud9,Cache,30,18,22,3,2,16.666666666666664,9.090909090909092,1.03
81879,IEM Katowice 2019,2019-02-24 18:30:00,RUSH,Cloud9,Cache,30,22,21,2,7,9.090909090909092,33.33333333333333,1.01
81879,IEM Katowice 2019,2019-02-24 18:30:00,Zellsis,Cloud9,Cache,30,17,20,1,3,5.88235294117647,15.0,0.95
81879,IEM Katowice 2019,2019-02-24 18:30:00,kioShiMa,Cloud9,Cache,30,17,21,4,2,23.52941176470588,9.523809523809524,0.88
81879,IEM Katowice 2019,2019-02-24 18:30:00,autimatic,Cloud9,Cache,30,21,23,3,3,14.285714285714285,13.043478260869565,0.86
81873,IEM Katowice 2019,2019-02-24 15:05:00,Lekr0,NiP,Mirage,23,22,13,2,2,9.090909090909092,15.384615384615385,1.54
81873,IEM Katowice 2019,2019-02-24 15:05:00,dennis,NiP,Mirage,23,23,14,3,2,13.043478260869565,14.285714285714285,1.5
81873,IEM Katowice 2019,2019-02-24 15:05:00,REZ,NiP,Mirage,23,14,17,3,2,21.428571428571427,11.76470588235294,1.03
81873,IEM Katowice 2019,2019-02-24 15:05:00,GeT_RiGhT,NiP,Mirage,23,15,16,2,4,13.333333333333334,25.0,1.0
81873,IEM Katowice 2019,2019-02-24 15:05:00,f0rest,NiP,Mirage,23,13,12,1,1,7.6923076923076925,8.333333333333332,0.99
81873,IEM Katowice 2019,2019-02-24 15:05:00,NBK-,Vitality,Mirage,23,18,17,2,1,11.11111111111111,5.88235294117647,1.07
81873,IEM Katowice 2019,2019-02-24 15:05:00,apEX,Vitality,Mirage,23,15,18,3,3,20.0,16.666666666666664,0.98
81873,IEM Katowice 2019,2019-02-24 15:05:00,ALEX,Vitality,Mirage,23,15,17,0,2,0.0,11.76470588235294,0.96
81873,IEM Katowice 2019,2019-02-24 15:05:00,ZywOo,Vitality,Mirage,23,15,19,5,4,33.33333333333333,21.052631578947366,0.91
81873,IEM Katowice 2019,2019-02-24 15:05:00,RpK,Vitality,Mirage,23,9,17,1,2,11.11111111111111,11.76470588235294,0.7
81870,IEM Katowice 2019,2019-02-24 15:05:00,GeT_RiGhT,NiP,Overpass,24,22,17,1,2,4.545454545454546,11.76470588235294,1.31
81870,IEM Katowice 2019,2019-02-24 15:05:00,REZ,NiP,Overpass,24,16,17,3,6,18.75,35.294117647058826,0.93
81870,IEM Katowice 2019,2019-02-24 15:05:00,Lekr0,NiP,Overpass,24,11,17,2,2,18.181818181818183,11.76470588235294,0.8
81870,IEM Katowice 2019,2019-02-24 15:05:00,f0rest,NiP,Overpass,24,10,19,2,1,20.0,5.263157894736842,0.75
81870,IEM Katowice 2019,2019-02-24 15:05:00,dennis,NiP,Overpass,24,9,18,3,2,33.33333333333333,11.11111111111111,0.67
81870,IEM Katowice 2019,2019-02-24 15:05:00,ZywOo,Vitality,Overpass,24,26,16,5,5,19.230769230769234,31.25,1.53
81870,IEM Katowice 2019,2019-02-24 15:05:00,apEX,Vitality,Overpass,24,22,14,4,2,18.181818181818183,14.285714285714285,1.34
81870,IEM Katowice 2019,2019-02-24 15:05:00,NBK-,Vitality,Overpass,24,18,15,2,1,11.11111111111111,6.666666666666667,1.3
81870,IEM Katowice 2019,2019-02-24 15:05:00,ALEX,Vitality,Overpass,24,16,12,1,0,6.25,0.0,1.13
81870,IEM Katowice 2019,2019-02-24 15:05:00,RpK,Vitality,Overpass,24,6,11,1,3,16.666666666666664,27.27272727272727,0.76
81868,IEM Katowice 2019,2019-02-24 15:05:00,f0rest,NiP,Cache,23,26,10,1,0,3.8461538461538463,0.0,1.55
81868,IEM Katowice 2019,2019-02-24 15:05:00,dennis,NiP,Cache,23,19,13,2,2,10.526315789473683,15.384615384615385,1.51
81868,IEM Katowice 2019,2019-02-24 15:05:00,Lekr0,NiP,Cache,23,21,10,2,0,9.523809523809524,0.0,1.5
81868,IEM Katowice 2019,2019-02-24 15:05:00,REZ,NiP,Cache,23,12,10,4,3,33.33333333333333,30.0,1.12
81868,IEM Katowice 2019,2019-02-24 15:05:00,GeT_RiGhT,NiP,Cache,23,14,13,2,7,14.285714285714285,53.84615384615385,0.98
81868,IEM Katowice 2019,2019-02-24 15:05:00,RpK,Vitality,Cache,23,15,19,2,1,13.333333333333334,5.263157894736842,0.96
81868,IEM Katowice 2019,2019-02-24 15:05:00,ZywOo,Vitality,Cache,23,12,16,3,2,25.0,12.5,0.95
81868,IEM Katowice 2019,2019-02-24 15:05:00,apEX,Vitality,Cache,23,15,19,4,5,26.666666666666668,26.31578947368421,0.92
