Name,Age,Nationality,Team,Rating,Total Kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Kills / Round,Maps played
Lubos 'HenkkyG' Ilko,21,Slovakia,eSuba,0.99,5018,48.6,5090,0.99,73.3,0.68,281
ZhiWei '0i' Liu,22,China,No team,1.04,5613,54.9,5740,0.98,77.7,0.71,306
Anton 'speed4k' Titov,22,Russia,DreamEaters,1.04,4905,46.0,4942,0.99,72.9,0.67,278
Keven 'AZK' Lariviere,28,Canada,No team,0.98,5081,39.2,5082,1.00,71.5,0.68,282
Alexey 'NickelBack' Trofimov,21,Russia,pro100,1.06,7577,40.6,7614,1.00,77.4,0.68,426
Kristaps 'krii' Bricis,20,Latvia,Mock-it,0.98,5891,48.2,5919,1.00,73.3,0.67,335
Fredrik 'slap' Junbrant,26,Sweden,hASSeLsNOk,0.98,4852,50.7,4950,0.98,73.6,0.69,279
Aidyn 'KrizzeN' Turlybekov,19,Kazakhstan,No team,1.05,9331,56.5,9195,1.01,74.3,0.66,545
Thilo 'syken' Phan,23,Germany,No team,0.98,6890,57.7,7071,0.97,74.8,0.69,379
Rhys 'Fadey' Armstrong,21,South Africa,ATK,0.98,6414,55.5,6678,0.96,77.7,0.71,362
Nabil 'nbl' Aleua,22,Argentina,9z,0.98,7888,50.7,8019,0.98,74.3,0.68,448
Bartosz 'Hyper' Wolny,29,Poland,No team,0.98,10485,41.9,10413,1.01,71.8,0.67,596
Todd 'anger' Williams,31,United States,Mythic,0.98,11690,50.9,11890,0.98,74.4,0.68,659
Francesc 'donQ' Savall Garcia,29,Spain,Dragons,0.98,5641,58.2,5619,1.00,71.4,0.67,322
Wiktor 'TaZ' Wojtas,32,Poland,ex-devils.one,0.98,29170,51.9,29129,1.00,69.5,0.67,1670
Cédric 'RpK' Guipouy,29,France,Vitality,0.98,19284,51.2,19598,0.98,73.6,0.68,1096
Bence 'DeadFox' Böröcz,24,Hungary,No team,0.98,13856,38.4,13910,1.00,69.5,0.66,807
Lucas 'LUCAS1' Teles,23,Brazil,Luminosity,0.98,12006,46.9,12070,0.99,77.0,0.67,699
Erik 'zende' Sundeqvist,24,Sweden,No team,0.98,7064,47.7,7065,1.00,74.1,0.68,397
Callum 'BURNRUOk' Henderson,23,Australia,Ground Zero,0.98,10478,50.0,10682,0.98,74.7,0.68,597
Julien 'PetitSkel' Marcantoni,27,France,No team,0.98,5707,44.8,5719,1.00,73.7,0.66,337
Jindřich 'ZEDKO' Chyba,21,Czech Republic,eSuba,0.98,8005,52.4,8068,0.99,75.0,0.67,459
Connor 'chuch' Morgan,20,Australia,Roar,0.98,5324,41.8,5386,0.99,76.8,0.68,305
Ivan 'Rock1nG' Stratiev,22,Bulgaria,Bpro,1.04,8205,54.8,8383,0.98,75.6,0.68,470
Rodrigo 'RCF' Figueiredo,18,Brazil,Sharks,1.05,5076,53.4,5249,0.97,75.1,0.69,291
Steve 'InJect' Honan,26,Australia,R!OT,1.03,5729,33.0,5708,1.00,68.8,0.66,334
Nan 'Jewelry' Wang,32,China,New4,0.98,5179,43.4,5307,0.98,76.3,0.70,289
Lucas 'steel' Lopes,25,Brazil,Luminosity,0.98,14874,39.8,14863,1.00,73.6,0.66,870
Taylor 'Drone' Johnson,21,United States,No team,0.98,7117,61.7,7342,0.97,74.2,0.68,403
Jordan 'krudeN' Hill,22,Australia,No team,0.98,5067,49.4,5198,0.97,77.4,0.69,278
Savelii 'jmqa' Bragin,22,Russia,No team,0.98,15527,50.9,15638,0.99,74.5,0.67,880
Martin 'STYKO' Styk,23,Slovakia,NoChance,0.98,16781,56.5,16931,0.99,73.3,0.66,974
Filip 'NEO' Kubski,31,Poland,No team,0.98,28197,36.7,28489,0.99,73.3,0.66,1636
David 'devoduvek' Dobrosavljevic,24,France,chebran,0.98,8825,49.6,8990,0.98,78.1,0.67,497
Tomasz 'phr' Wójcik,22,Poland,AGO,1.03,13932,55.0,13992,1.00,74.1,0.67,789
Matt 'Pollo' Wilson,21,United States,Old Guys Club,0.98,5579,46.9,5709,0.98,78.2,0.69,309
Alexandre 'xms' Forté,21,France,LDLC,0.98,8854,59.8,9129,0.97,72.8,0.67,508
Joshua 'sancz' Ballenger,27,United States,No team,0.98,5746,43.4,5821,0.99,74.6,0.69,315
Timothée 'DEVIL' Démolon,24,France,chebran,0.98,9740,48.2,9864,0.99,73.5,0.67,559
Dmitriy 'Dima' Bandurka,24,Russia,Vega Squadron,0.98,16301,52.0,16984,0.96,76.8,0.68,913
Mateusz 'TOAO' Zawistowski,22,Poland,No team,1.02,10500,46.4,10599,0.99,70.7,0.65,612
Kumaresan 'Tommy' Ramani,25,Singapore,No team,1.05,6222,45.8,6424,0.97,77.0,0.69,357
Danni 'smF' Dyg,26,Denmark,LPSP,0.97,9635,55.5,9693,0.99,71.7,0.66,566
Guillermo 'guishorro' Areco,26,Argentina,No team,0.97,5060,44.0,5375,0.94,76.4,0.70,285
Vinicios 'PKL' Coelho,24,Brazil,paiN,0.97,10394,52.0,10577,0.98,74.4,0.66,610
Denis 'denis' Howell,24,Germany,Sprout,0.97,21688,43.4,22531,0.96,77.4,0.69,1187
